"","postcode","suburb","Year","OffenceDivision","OffenceSubdivision","OffenceSubgroup","IncidentsRecorded","lat","lon"
"2",3000,"MELBOURNE",2008,"C Drug offences","C20 Cultivate or manufacture drugs","C23 Possess drug manufacturing equipment or precursor",549,-37.814563,144.970267
"11",3000,"MELBOURNE",2008,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",85,-37.814563,144.970267
"43",3000,"MELBOURNE",2009,"C Drug offences","C30 Drug use and possession","C32 Drug possession",524,-37.814563,144.970267
"60",3000,"MELBOURNE",2009,"C Drug offences","C20 Cultivate or manufacture drugs","C23 Possess drug manufacturing equipment or precursor",270,-37.814563,144.970267
"111",3000,"MELBOURNE",2009,"C Drug offences","C30 Drug use and possession","C31 Drug use",495,-37.814563,144.970267
"127",3000,"MELBOURNE",2009,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",1,-37.814563,144.970267
"144",3000,"MELBOURNE",2014,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",88,-37.814563,144.970267
"158",3000,"MELBOURNE",2009,"C Drug offences","C10 Drug dealing and trafficking","C11 Drug dealing",1,-37.814563,144.970267
"165",3000,"MELBOURNE",2012,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",145,-37.814563,144.970267
"169",3000,"MELBOURNE",2015,"C Drug offences","C30 Drug use and possession","C32 Drug possession",538,-37.814563,144.970267
"174",3000,"MELBOURNE",2012,"C Drug offences","C30 Drug use and possession","C31 Drug use",273,-37.814563,144.970267
"189",3000,"MELBOURNE",2012,"C Drug offences","C20 Cultivate or manufacture drugs","C23 Possess drug manufacturing equipment or precursor",46,-37.814563,144.970267
"191",3000,"MELBOURNE",2012,"C Drug offences","C30 Drug use and possession","C32 Drug possession",446,-37.814563,144.970267
"196",3000,"MELBOURNE",2009,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",80,-37.814563,144.970267
"206",3000,"MELBOURNE",2012,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",653,-37.814563,144.970267
"220",3000,"MELBOURNE",2014,"C Drug offences","C30 Drug use and possession","C31 Drug use",460,-37.814563,144.970267
"242",3000,"MELBOURNE",2012,"C Drug offences","C90 Other drug offences","C99 Other drug offences",1,-37.814563,144.970267
"244",3000,"MELBOURNE",2017,"C Drug offences","C90 Other drug offences","C99 Other drug offences",1,-37.814563,144.970267
"249",3000,"MELBOURNE",2015,"C Drug offences","C20 Cultivate or manufacture drugs","C23 Possess drug manufacturing equipment or precursor",68,-37.814563,144.970267
"250",3000,"MELBOURNE",2015,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",270,-37.814563,144.970267
"262",3000,"MELBOURNE",2014,"C Drug offences","C30 Drug use and possession","C32 Drug possession",522,-37.814563,144.970267
"263",3000,"MELBOURNE",2014,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",1,-37.814563,144.970267
"264",3000,"MELBOURNE",2014,"C Drug offences","C20 Cultivate or manufacture drugs","C23 Possess drug manufacturing equipment or precursor",317,-37.814563,144.970267
"276",3000,"MELBOURNE",2017,"C Drug offences","C30 Drug use and possession","C32 Drug possession",591,-37.814563,144.970267
"294",3000,"MELBOURNE",2008,"C Drug offences","C30 Drug use and possession","C32 Drug possession",477,-37.814563,144.970267
"312",3000,"MELBOURNE",2017,"C Drug offences","C30 Drug use and possession","C31 Drug use",171,-37.814563,144.970267
"344",3000,"MELBOURNE",2010,"C Drug offences","C10 Drug dealing and trafficking","C11 Drug dealing",1,-37.814563,144.970267
"357",3000,"MELBOURNE",2017,"C Drug offences","C20 Cultivate or manufacture drugs","C23 Possess drug manufacturing equipment or precursor",57,-37.814563,144.970267
"371",3000,"MELBOURNE",2015,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",69,-37.814563,144.970267
"382",3000,"MELBOURNE",2014,"C Drug offences","C90 Other drug offences","C99 Other drug offences",1,-37.814563,144.970267
"406",3000,"MELBOURNE",2011,"C Drug offences","C20 Cultivate or manufacture drugs","C23 Possess drug manufacturing equipment or precursor",601,-37.814563,144.970267
"423",3000,"MELBOURNE",2016,"C Drug offences","C30 Drug use and possession","C32 Drug possession",507,-37.814563,144.970267
"443",3000,"MELBOURNE",2011,"C Drug offences","C30 Drug use and possession","C31 Drug use",273,-37.814563,144.970267
"453",3000,"MELBOURNE",2015,"C Drug offences","C30 Drug use and possession","C31 Drug use",295,-37.814563,144.970267
"458",3000,"MELBOURNE",2008,"C Drug offences","C30 Drug use and possession","C31 Drug use",593,-37.814563,144.970267
"465",3000,"MELBOURNE",2010,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",63,-37.814563,144.970267
"466",3000,"MELBOURNE",2010,"C Drug offences","C30 Drug use and possession","C31 Drug use",435,-37.814563,144.970267
"469",3000,"MELBOURNE",2010,"C Drug offences","C30 Drug use and possession","C32 Drug possession",563,-37.814563,144.970267
"484",3000,"MELBOURNE",2011,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",38,-37.814563,144.970267
"523",3000,"MELBOURNE",2011,"C Drug offences","C30 Drug use and possession","C32 Drug possession",418,-37.814563,144.970267
"530",3000,"MELBOURNE",2017,"C Drug offences","C10 Drug dealing and trafficking","C11 Drug dealing",1,-37.814563,144.970267
"539",3000,"MELBOURNE",2013,"C Drug offences","C30 Drug use and possession","C32 Drug possession",630,-37.814563,144.970267
"548",3000,"MELBOURNE",2010,"C Drug offences","C20 Cultivate or manufacture drugs","C23 Possess drug manufacturing equipment or precursor",270,-37.814563,144.970267
"559",3000,"MELBOURNE",2016,"C Drug offences","C20 Cultivate or manufacture drugs","C23 Possess drug manufacturing equipment or precursor",658,-37.814563,144.970267
"580",3000,"MELBOURNE",2013,"C Drug offences","C30 Drug use and possession","C31 Drug use",393,-37.814563,144.970267
"613",3000,"MELBOURNE",2010,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",145,-37.814563,144.970267
"625",3000,"MELBOURNE",2017,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",82,-37.814563,144.970267
"630",3000,"MELBOURNE",2016,"C Drug offences","C10 Drug dealing and trafficking","C11 Drug dealing",1,-37.814563,144.970267
"641",3000,"MELBOURNE",2016,"C Drug offences","C90 Other drug offences","C99 Other drug offences",1,-37.814563,144.970267
"666",3000,"MELBOURNE",2016,"C Drug offences","C30 Drug use and possession","C31 Drug use",273,-37.814563,144.970267
"670",3000,"MELBOURNE",2013,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",45,-37.814563,144.970267
"673",3000,"MELBOURNE",2013,"C Drug offences","C10 Drug dealing and trafficking","C11 Drug dealing",1,-37.814563,144.970267
"680",3000,"MELBOURNE",2016,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",664,-37.814563,144.970267
"700",3000,"MELBOURNE",2013,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",1,-37.814563,144.970267
"721",3000,"MELBOURNE",2013,"C Drug offences","C20 Cultivate or manufacture drugs","C23 Possess drug manufacturing equipment or precursor",273,-37.814563,144.970267
"784",3002,"EAST MELBOURNE",2009,"C Drug offences","C30 Drug use and possession","C32 Drug possession",112,-37.81664,144.987811
"794",3002,"EAST MELBOURNE",2013,"C Drug offences","C30 Drug use and possession","C32 Drug possession",101,-37.81664,144.987811
"827",3002,"EAST MELBOURNE",2013,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",145,-37.81664,144.987811
"837",3002,"EAST MELBOURNE",2009,"C Drug offences","C20 Cultivate or manufacture drugs","C23 Possess drug manufacturing equipment or precursor",1,-37.81664,144.987811
"898",3002,"EAST MELBOURNE",2014,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",478,-37.81664,144.987811
"907",3002,"EAST MELBOURNE",2016,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",634,-37.81664,144.987811
"908",3002,"EAST MELBOURNE",2014,"C Drug offences","C20 Cultivate or manufacture drugs","C23 Possess drug manufacturing equipment or precursor",1,-37.81664,144.987811
"934",3002,"EAST MELBOURNE",2014,"C Drug offences","C30 Drug use and possession","C32 Drug possession",68,-37.81664,144.987811
"936",3002,"EAST MELBOURNE",2015,"C Drug offences","C20 Cultivate or manufacture drugs","C23 Possess drug manufacturing equipment or precursor",270,-37.81664,144.987811
"951",3002,"EAST MELBOURNE",2017,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",1,-37.81664,144.987811
"999",3002,"EAST MELBOURNE",2009,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",601,-37.81664,144.987811
"1019",3002,"EAST MELBOURNE",2015,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",658,-37.81664,144.987811
"1032",3002,"EAST MELBOURNE",2011,"C Drug offences","C30 Drug use and possession","C32 Drug possession",182,-37.81664,144.987811
"1082",3002,"EAST MELBOURNE",2008,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",270,-37.81664,144.987811
"1111",3002,"EAST MELBOURNE",2011,"C Drug offences","C30 Drug use and possession","C31 Drug use",1,-37.81664,144.987811
"1113",3002,"EAST MELBOURNE",2012,"C Drug offences","C30 Drug use and possession","C31 Drug use",1,-37.81664,144.987811
"1124",3002,"EAST MELBOURNE",2012,"C Drug offences","C30 Drug use and possession","C32 Drug possession",90,-37.81664,144.987811
"1136",3002,"EAST MELBOURNE",2017,"C Drug offences","C30 Drug use and possession","C32 Drug possession",134,-37.81664,144.987811
"1138",3002,"EAST MELBOURNE",2011,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",549,-37.81664,144.987811
"1140",3002,"EAST MELBOURNE",2015,"C Drug offences","C30 Drug use and possession","C32 Drug possession",46,-37.81664,144.987811
"1149",3002,"EAST MELBOURNE",2012,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",380,-37.81664,144.987811
"1150",3002,"EAST MELBOURNE",2012,"C Drug offences","C20 Cultivate or manufacture drugs","C23 Possess drug manufacturing equipment or precursor",1,-37.81664,144.987811
"1167",3002,"EAST MELBOURNE",2010,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",380,-37.81664,144.987811
"1174",3002,"EAST MELBOURNE",2017,"C Drug offences","C30 Drug use and possession","C31 Drug use",1,-37.81664,144.987811
"1181",3002,"EAST MELBOURNE",2010,"C Drug offences","C30 Drug use and possession","C32 Drug possession",46,-37.81664,144.987811
"1188",3002,"EAST MELBOURNE",2008,"C Drug offences","C30 Drug use and possession","C32 Drug possession",35,-37.81664,144.987811
"1196",3002,"EAST MELBOURNE",2011,"C Drug offences","C20 Cultivate or manufacture drugs","C23 Possess drug manufacturing equipment or precursor",1,-37.81664,144.987811
"1205",3002,"EAST MELBOURNE",2010,"C Drug offences","C30 Drug use and possession","C31 Drug use",1,-37.81664,144.987811
"1251",3002,"EAST MELBOURNE",2016,"C Drug offences","C30 Drug use and possession","C32 Drug possession",193,-37.81664,144.987811
"1258",3003,"WEST MELBOURNE",2008,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",380,-37.806255,144.941123
"1259",3003,"WEST MELBOURNE",2011,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",1,-37.806255,144.941123
"1291",3003,"WEST MELBOURNE",2015,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",270,-37.806255,144.941123
"1296",3003,"WEST MELBOURNE",2014,"C Drug offences","C30 Drug use and possession","C32 Drug possession",101,-37.806255,144.941123
"1309",3003,"WEST MELBOURNE",2016,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",549,-37.806255,144.941123
"1322",3003,"WEST MELBOURNE",2016,"C Drug offences","C20 Cultivate or manufacture drugs","C23 Possess drug manufacturing equipment or precursor",145,-37.806255,144.941123
"1329",3003,"WEST MELBOURNE",2008,"C Drug offences","C30 Drug use and possession","C31 Drug use",1,-37.806255,144.941123
"1330",3003,"WEST MELBOURNE",2015,"C Drug offences","C30 Drug use and possession","C32 Drug possession",171,-37.806255,144.941123
"1363",3003,"WEST MELBOURNE",2014,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",1,-37.806255,144.941123
"1372",3003,"WEST MELBOURNE",2011,"C Drug offences","C30 Drug use and possession","C32 Drug possession",112,-37.806255,144.941123
"1375",3003,"WEST MELBOURNE",2010,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",145,-37.806255,144.941123
"1385",3003,"WEST MELBOURNE",2016,"C Drug offences","C30 Drug use and possession","C32 Drug possession",204,-37.806255,144.941123
"1417",3003,"WEST MELBOURNE",2010,"C Drug offences","C30 Drug use and possession","C32 Drug possession",79,-37.806255,144.941123
"1462",3003,"WEST MELBOURNE",2013,"C Drug offences","C30 Drug use and possession","C32 Drug possession",160,-37.806255,144.941123
"1492",3003,"WEST MELBOURNE",2017,"C Drug offences","C30 Drug use and possession","C32 Drug possession",284,-37.806255,144.941123
"1517",3003,"WEST MELBOURNE",2017,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",270,-37.806255,144.941123
"1526",3003,"WEST MELBOURNE",2012,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",145,-37.806255,144.941123
"1541",3003,"WEST MELBOURNE",2015,"C Drug offences","C20 Cultivate or manufacture drugs","C23 Possess drug manufacturing equipment or precursor",1,-37.806255,144.941123
"1542",3003,"WEST MELBOURNE",2008,"C Drug offences","C30 Drug use and possession","C32 Drug possession",549,-37.806255,144.941123
"1570",3003,"WEST MELBOURNE",2009,"C Drug offences","C30 Drug use and possession","C32 Drug possession",478,-37.806255,144.941123
"1576",3003,"WEST MELBOURNE",2009,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",1,-37.806255,144.941123
"1641",3003,"WEST MELBOURNE",2012,"C Drug offences","C30 Drug use and possession","C32 Drug possession",68,-37.806255,144.941123
"1658",3006,"SOUTHBANK",2010,"C Drug offences","C30 Drug use and possession","C32 Drug possession",273,-37.823258,144.965926
"1665",3006,"SOUTHBANK",2010,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",145,-37.823258,144.965926
"1708",3006,"SOUTHBANK",2016,"C Drug offences","C30 Drug use and possession","C31 Drug use",270,-37.823258,144.965926
"1726",3006,"SOUTHBANK",2016,"C Drug offences","C30 Drug use and possession","C32 Drug possession",573,-37.823258,144.965926
"1756",3006,"SOUTHBANK",2014,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",123,-37.823258,144.965926
"1780",3006,"SOUTHBANK",2012,"C Drug offences","C30 Drug use and possession","C31 Drug use",1,-37.823258,144.965926
"1799",3006,"SOUTHBANK",2010,"C Drug offences","C30 Drug use and possession","C31 Drug use",145,-37.823258,144.965926
"1808",3006,"SOUTHBANK",2011,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",270,-37.823258,144.965926
"1827",3006,"SOUTHBANK",2014,"C Drug offences","C30 Drug use and possession","C32 Drug possession",573,-37.823258,144.965926
"1834",3006,"SOUTHBANK",2012,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",478,-37.823258,144.965926
"1837",3006,"SOUTHBANK",2014,"C Drug offences","C20 Cultivate or manufacture drugs","C23 Possess drug manufacturing equipment or precursor",145,-37.823258,144.965926
"1841",3006,"SOUTHBANK",2016,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",226,-37.823258,144.965926
"1864",3006,"SOUTHBANK",2012,"C Drug offences","C30 Drug use and possession","C32 Drug possession",259,-37.823258,144.965926
"1865",3006,"SOUTHBANK",2011,"C Drug offences","C30 Drug use and possession","C32 Drug possession",295,-37.823258,144.965926
"1908",3006,"SOUTHBANK",2014,"C Drug offences","C30 Drug use and possession","C31 Drug use",145,-37.823258,144.965926
"1940",3006,"SOUTHBANK",2013,"C Drug offences","C30 Drug use and possession","C32 Drug possession",348,-37.823258,144.965926
"1946",3006,"SOUTHBANK",2013,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",46,-37.823258,144.965926
"1970",3006,"SOUTHBANK",2009,"C Drug offences","C30 Drug use and possession","C31 Drug use",380,-37.823258,144.965926
"1975",3006,"SOUTHBANK",2017,"C Drug offences","C20 Cultivate or manufacture drugs","C23 Possess drug manufacturing equipment or precursor",601,-37.823258,144.965926
"2021",3006,"SOUTHBANK",2017,"C Drug offences","C30 Drug use and possession","C32 Drug possession",641,-37.823258,144.965926
"2034",3006,"SOUTHBANK",2015,"C Drug offences","C30 Drug use and possession","C32 Drug possession",415,-37.823258,144.965926
"2051",3006,"SOUTHBANK",2015,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",123,-37.823258,144.965926
"2059",3006,"SOUTHBANK",2013,"C Drug offences","C30 Drug use and possession","C31 Drug use",145,-37.823258,144.965926
"2062",3006,"SOUTHBANK",2017,"C Drug offences","C30 Drug use and possession","C31 Drug use",145,-37.823258,144.965926
"2063",3006,"SOUTHBANK",2009,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",1,-37.823258,144.965926
"2072",3006,"SOUTHBANK",2009,"C Drug offences","C30 Drug use and possession","C32 Drug possession",112,-37.823258,144.965926
"2073",3006,"SOUTHBANK",2015,"C Drug offences","C30 Drug use and possession","C31 Drug use",145,-37.823258,144.965926
"2075",3006,"SOUTHBANK",2015,"C Drug offences","C20 Cultivate or manufacture drugs","C23 Possess drug manufacturing equipment or precursor",549,-37.823258,144.965926
"2088",3006,"SOUTHBANK",2017,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",404,-37.823258,144.965926
"2124",3006,"SOUTHBANK",2008,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",478,-37.823258,144.965926
"2141",3006,"SOUTHBANK",2013,"C Drug offences","C20 Cultivate or manufacture drugs","C23 Possess drug manufacturing equipment or precursor",145,-37.823258,144.965926
"2149",3006,"SOUTHBANK",2008,"C Drug offences","C30 Drug use and possession","C32 Drug possession",182,-37.823258,144.965926
"2167",3006,"SOUTHBANK",2008,"C Drug offences","C30 Drug use and possession","C31 Drug use",380,-37.823258,144.965926
"2185",3008,"DOCKLANDS",2014,"C Drug offences","C30 Drug use and possession","C31 Drug use",1,-37.814719,144.948039
"2189",3008,"DOCKLANDS",2014,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",634,-37.814719,144.948039
"2191",3008,"DOCKLANDS",2011,"C Drug offences","C30 Drug use and possession","C32 Drug possession",380,-37.814719,144.948039
"2219",3008,"DOCKLANDS",2016,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",46,-37.814719,144.948039
"2225",3008,"DOCKLANDS",2016,"C Drug offences","C30 Drug use and possession","C32 Drug possession",453,-37.814719,144.948039
"2231",3008,"DOCKLANDS",2011,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",601,-37.814719,144.948039
"2275",3008,"DOCKLANDS",2014,"C Drug offences","C30 Drug use and possession","C32 Drug possession",226,-37.814719,144.948039
"2279",3008,"DOCKLANDS",2015,"C Drug offences","C20 Cultivate or manufacture drugs","C23 Possess drug manufacturing equipment or precursor",145,-37.814719,144.948039
"2284",3008,"DOCKLANDS",2009,"C Drug offences","C30 Drug use and possession","C32 Drug possession",90,-37.814719,144.948039
"2301",3008,"DOCKLANDS",2012,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",380,-37.814719,144.948039
"2305",3008,"DOCKLANDS",2015,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",549,-37.814719,144.948039
"2314",3008,"DOCKLANDS",2009,"C Drug offences","C30 Drug use and possession","C31 Drug use",1,-37.814719,144.948039
"2318",3008,"DOCKLANDS",2012,"C Drug offences","C30 Drug use and possession","C32 Drug possession",90,-37.814719,144.948039
"2329",3008,"DOCKLANDS",2012,"C Drug offences","C20 Cultivate or manufacture drugs","C23 Possess drug manufacturing equipment or precursor",1,-37.814719,144.948039
"2387",3008,"DOCKLANDS",2017,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",35,-37.814719,144.948039
"2469",3008,"DOCKLANDS",2017,"C Drug offences","C30 Drug use and possession","C31 Drug use",145,-37.814719,144.948039
"2481",3008,"DOCKLANDS",2013,"C Drug offences","C30 Drug use and possession","C32 Drug possession",112,-37.814719,144.948039
"2505",3008,"DOCKLANDS",2013,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",634,-37.814719,144.948039
"2507",3008,"DOCKLANDS",2008,"C Drug offences","C30 Drug use and possession","C32 Drug possession",601,-37.814719,144.948039
"2533",3008,"DOCKLANDS",2008,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",270,-37.814719,144.948039
"2557",3008,"DOCKLANDS",2015,"C Drug offences","C30 Drug use and possession","C32 Drug possession",317,-37.814719,144.948039
"2582",3008,"DOCKLANDS",2017,"C Drug offences","C30 Drug use and possession","C32 Drug possession",651,-37.814719,144.948039
"2596",3008,"DOCKLANDS",2010,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",270,-37.814719,144.948039
"2598",3008,"DOCKLANDS",2010,"C Drug offences","C30 Drug use and possession","C32 Drug possession",284,-37.814719,144.948039
"2629",3008,"DOCKLANDS",2013,"C Drug offences","C30 Drug use and possession","C31 Drug use",1,-37.814719,144.948039
"2637",3008,"DOCKLANDS",2017,"C Drug offences","C20 Cultivate or manufacture drugs","C23 Possess drug manufacturing equipment or precursor",1,-37.814719,144.948039
"2686",3011,"FOOTSCRAY",2009,"C Drug offences","C20 Cultivate or manufacture drugs","C23 Possess drug manufacturing equipment or precursor",145,-37.79977,144.899587
"2689",3011,"FOOTSCRAY",2015,"C Drug offences","C20 Cultivate or manufacture drugs","C23 Possess drug manufacturing equipment or precursor",145,-37.79977,144.899587
"2695",3011,"FOOTSCRAY",2016,"C Drug offences","C20 Cultivate or manufacture drugs","C23 Possess drug manufacturing equipment or precursor",270,-37.79977,144.899587
"2696",3011,"FOOTSCRAY",2009,"C Drug offences","C10 Drug dealing and trafficking","C11 Drug dealing",1,-37.79977,144.899587
"2711",3011,"FOOTSCRAY",2013,"C Drug offences","C30 Drug use and possession","C32 Drug possession",67,-37.79977,144.899587
"2717",3011,"FOOTSCRAY",2016,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",145,-37.79977,144.899587
"2726",3011,"FOOTSCRAY",2016,"C Drug offences","C30 Drug use and possession","C31 Drug use",270,-37.79977,144.899587
"2728",3011,"FOOTSCRAY",2009,"C Drug offences","C30 Drug use and possession","C31 Drug use",204,-37.79977,144.899587
"2731",3011,"FOOTSCRAY",2009,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",145,-37.79977,144.899587
"2733",3011,"FOOTSCRAY",2009,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",600,-37.79977,144.899587
"2748",3011,"FOOTSCRAY",2008,"C Drug offences","C30 Drug use and possession","C31 Drug use",68,-37.79977,144.899587
"2756",3011,"FOOTSCRAY",2016,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",306,-37.79977,144.899587
"2757",3011,"FOOTSCRAY",2013,"C Drug offences","C20 Cultivate or manufacture drugs","C23 Possess drug manufacturing equipment or precursor",1,-37.79977,144.899587
"2772",3011,"FOOTSCRAY",2009,"C Drug offences","C90 Other drug offences","C99 Other drug offences",1,-37.79977,144.899587
"2797",3011,"FOOTSCRAY",2009,"C Drug offences","C30 Drug use and possession","C32 Drug possession",83,-37.79977,144.899587
"2805",3011,"FOOTSCRAY",2012,"C Drug offences","C30 Drug use and possession","C31 Drug use",57,-37.79977,144.899587
"2811",3011,"FOOTSCRAY",2015,"C Drug offences","C30 Drug use and possession","C32 Drug possession",609,-37.79977,144.899587
"2828",3011,"FOOTSCRAY",2015,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",270,-37.79977,144.899587
"2842",3011,"FOOTSCRAY",2016,"C Drug offences","C30 Drug use and possession","C32 Drug possession",624,-37.79977,144.899587
"2865",3011,"FOOTSCRAY",2014,"C Drug offences","C30 Drug use and possession","C31 Drug use",270,-37.79977,144.899587
"2891",3011,"FOOTSCRAY",2010,"C Drug offences","C30 Drug use and possession","C31 Drug use",634,-37.79977,144.899587
"2906",3011,"FOOTSCRAY",2013,"C Drug offences","C30 Drug use and possession","C31 Drug use",145,-37.79977,144.899587
"2914",3011,"FOOTSCRAY",2012,"C Drug offences","C30 Drug use and possession","C32 Drug possession",129,-37.79977,144.899587
"2974",3011,"FOOTSCRAY",2014,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",204,-37.79977,144.899587
"2981",3011,"FOOTSCRAY",2013,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",453,-37.79977,144.899587
"2987",3011,"FOOTSCRAY",2015,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",370,-37.79977,144.899587
"2993",3011,"FOOTSCRAY",2012,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",602,-37.79977,144.899587
"3013",3011,"FOOTSCRAY",2008,"C Drug offences","C30 Drug use and possession","C32 Drug possession",641,-37.79977,144.899587
"3021",3011,"FOOTSCRAY",2013,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",145,-37.79977,144.899587
"3043",3011,"FOOTSCRAY",2014,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",1,-37.79977,144.899587
"3060",3011,"FOOTSCRAY",2010,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",544,-37.79977,144.899587
"3098",3011,"FOOTSCRAY",2008,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",659,-37.79977,144.899587
"3124",3011,"FOOTSCRAY",2012,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",270,-37.79977,144.899587
"3144",3011,"FOOTSCRAY",2017,"C Drug offences","C30 Drug use and possession","C31 Drug use",270,-37.79977,144.899587
"3157",3011,"FOOTSCRAY",2010,"C Drug offences","C30 Drug use and possession","C32 Drug possession",84,-37.79977,144.899587
"3196",3011,"FOOTSCRAY",2017,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",90,-37.79977,144.899587
"3198",3011,"FOOTSCRAY",2017,"C Drug offences","C30 Drug use and possession","C32 Drug possession",539,-37.79977,144.899587
"3199",3011,"FOOTSCRAY",2011,"C Drug offences","C20 Cultivate or manufacture drugs","C23 Possess drug manufacturing equipment or precursor",1,-37.79977,144.899587
"3226",3011,"FOOTSCRAY",2011,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",1,-37.79977,144.899587
"3229",3011,"FOOTSCRAY",2008,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",145,-37.79977,144.899587
"3249",3011,"FOOTSCRAY",2011,"C Drug offences","C30 Drug use and possession","C31 Drug use",90,-37.79977,144.899587
"3254",3011,"FOOTSCRAY",2010,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",1,-37.79977,144.899587
"3261",3011,"FOOTSCRAY",2017,"C Drug offences","C20 Cultivate or manufacture drugs","C23 Possess drug manufacturing equipment or precursor",1,-37.79977,144.899587
"3269",3011,"FOOTSCRAY",2011,"C Drug offences","C30 Drug use and possession","C32 Drug possession",122,-37.79977,144.899587
"3278",3011,"FOOTSCRAY",2014,"C Drug offences","C30 Drug use and possession","C32 Drug possession",653,-37.79977,144.899587
"3281",3011,"FOOTSCRAY",2011,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",444,-37.79977,144.899587
